lang_code,lesson_number,level,topic
en,1,A1,
en,2,A1,
en,3,A1,
en,4,A1,
en,5,A1,
en,6,A1,
en,7,A1,
en,8,A1,
en,9,A1,
en,10,A1,
en,11,A1,
en,12,A1,
en,13,A1,
en,14,A1,
en,15,A2,
en,16,A2,
en,17,A2,
en,18,A2,"Буква Ее не читается в конце слов, в которых есть 2 и более гласных"
en,19,A2,
en,20,A2,"Ii, Yy в бу [ı]"
en,21,A2,"Aa, Oo, Uu [ə]"
en,22,A2,Буква Ee в безударном слоге читается как [ı]
en,23,A2,Буквосочетание sh читается как [ʃ]
en,24,A2,"Буква Cc перед Ee, Yy, Ii читается как [s]"
en,25,A2,
en,26,A2,"Буква Gg перед  Ee, Yy, Ii  читается как [dʒ]"
en,27,A2,
en,28,B1,Буква Yy  в начале слова перед гласной читается как [j]
en,29,B1,Буква A в открытом (заканчивается на глаcную
en,30,B1,Буква Aa в закрытом  (заканчивается на соглаcную
en,31,B1,Буква Ee в открытом (заканчивается на глаcную
en,32,B1,Буква Ee в закрытом  (заканчивается на соглаcную
en,33,B1,"Буквы Ii, Yy  в открытом (заканчивается на глаcную"
en,34,B1,"Буквы Ii, Yy  в закрытом  (заканчивается на соглаcную"
en,35,B1,Буква Oo в открытом (заканчивается на глаcную
en,36,B1,Буква Oo в закрытом  (заканчивается на соглаcную
en,37,B1,Буква Uu в открытом (заканчивается на глаcную
en,38,B1,Буква Uu в закрытом (заканчивается на соглаcную
en,39,B1,"Буквосочетание Th читается как [ð] в служебных словах, местоимениях и наречиях"
en,40,B1,Буквосочетание Th читается как [θ] в начале и на конце слов (кроме служебных)
en,41,B2,"Буквосочетания ai, ay читаются как [eı]"
en,42,B2,"Буквосочетания oi, oy читаются как [ɔı]"
en,43,B2,"Буквосочетания ey, ei в ударном слоге читаются как [eı]"
en,44,B2,"Буквосочетания ea, ee читаются как [i"
en,45,B2,Буквосочетание oo читается как [u
en,46,B2,Буквосочетание ng читается как [ŋ]
en,47,B2,Буквосочетание oa читается как [əʋ]
en,48,B2,"Буквосочетания er, or в безударном слоге в конце слова читаются как [ə]"
en,49,B2,Буквосочетание ow в середине слова читается как [aʋ]
en,50,B2,"Буквосочетания eu, ew читаются как [ju"
en,51,B2,Буквосочетание igh читается как [aı]
en,52,B2,Буквосочетание ar читается как [ɑ
en,53,B2,"Буквосочетания or, ore читаются как [ɔ"
en,54,B2,"Буквосочетания ir, yr, er, ur  читаются как [ɜ"
en,55,C1,Буквосочетание air читается как [eə]
en,56,C1,
en,57,C1,"Буквосочетания are, ar+гласная читаются как [eə(r)]"
en,58,C1,
en,59,C1,"Буквосочетания ire, yre читаются как [aıə]"
en,60,C1,
en,61,C1,
en,62,C1,"eer, ear, er+гласная"
en,63,C1,Буквосочетание our в ударном слоге читается как [aʋə]
en,64,C1,Буквосочетание wh читается как [w]
en,65,C1,Буквосочетание ild читается как [aıld]
en,66,C1,"Буква o перед m, v, n, th читается как [ʌ]"
en,67,C1,"Буква a перед буквосочетанием th, и перед n, s, f - с последующей согласной чита"
en,68,C2,Буква о в буквосочетаниях old ost olt читается как [əʊ]
en,69,C2,Буквосочетание al + согласная читается как [ɔ
en,70,C2,"Буквосочетания au, aw читаются как [ɔ"
en,71,C2,"Буква s читается как [z] между гласными буквами (включая ""немую"" e)"
en,72,C2,Буквосочетание wr читается как [r]
en,73,C2,В закрытых слогах буквосочетания
en,74,C2,Буквосочетание wor читается как [wɜ
en,75,C2,Буквосочетание tion  читается как [ʃ(ə)n]
en,76,C2,После согласной буквосочетание sion читается как [ʃ(ə)n]
en,77,C2,"Буквосочетание cion, cean, cian читается как [ʃ(ə)n]"
en,78,C2,Буквосочетание ph читается как [f]
en,79,C2,"Буквосочетание bt читается как [t], если обе буквы входят в один слог"
en,80,C2,Буквосочетание kn в начале слова читается как [n]
uk,1,A1,
uk,2,A1,
uk,3,A1,
uk,4,A1,
uk,5,A1,
uk,6,A1,
uk,7,A1,
uk,8,A1,
uk,9,A1,
uk,10,A1,
uk,11,A1,
uk,12,A2,
uk,13,A2,
uk,14,A2,
uk,15,A2,
uk,16,A2,
uk,17,A2,
uk,18,A2,
uk,19,A2,
uk,20,A2,
uk,21,A2,
uk,22,A2,
uk,23,B1,
uk,24,B1,
uk,25,B1,
uk,26,B1,
uk,27,B1,
uk,28,B1,
uk,29,B1,
uk,30,B1,
uk,31,B1,
uk,32,B1,
uk,33,B1,
uk,34,B2,
uk,35,B2,
uk,36,B2,
uk,37,B2,
uk,38,B2,
uk,39,B2,
uk,40,B2,
uk,41,B2,
uk,42,B2,
uk,43,B2,
uk,44,B2,
uk,45,C1,
uk,46,C1,
uk,47,C1,
uk,48,C1,
uk,49,C1,
uk,50,C1,
uk,51,C1,
uk,52,C1,
uk,53,C1,
uk,54,C1,
uk,55,C1,
uk,56,C2,
uk,57,C2,
uk,58,C2,
uk,59,C2,
uk,60,C2,
uk,61,C2,
uk,62,C2,
uk,63,C2,
uk,64,C2,
uk,65,C2,
es,1,A1,
es,2,A1,
es,3,A1,
es,4,A1,
es,5,A1,
es,6,A1,
es,7,A1,
es,8,A1,
es,9,A1,
es,10,A2,
es,11,A2,
es,12,A2,
es,13,A2,
es,14,A2,
es,15,A2,
es,16,A2,
es,17,A2,
es,18,A2,
es,19,B1,
es,20,B1,
es,21,B1,
es,22,B1,
es,23,B1,
es,24,B1,
es,25,B1,
es,26,B1,
es,27,B1,
es,28,B2,
es,29,B2,
es,30,B2,
es,31,B2,
es,32,B2,
es,33,B2,
es,34,B2,
es,35,B2,
es,36,B2,
es,37,C1,
es,38,C1,
es,40,C1,
es,41,C1,
es,42,C1,
es,43,C1,
es,44,C1,
es,45,C1,
es,46,C2,
es,47,C2,
es,48,C2,
es,49,C2,
es,50,C2,
es,51,C2,
es,52,C2,
es,53,C2,
es,54,C2,
ko,1,A1,
ko,2,A1,
ko,3,A1,
ko,4,A1,
ko,5,A1,
ko,6,A1,
ko,7,A1,
ko,8,A1,
ko,9,A1,
ko,10,A1,
ko,11,A1,
ko,12,A1,
ko,13,A1,
ko,14,A2,
ko,15,A2,
ko,16,A2,
ko,17,A2,
ko,18,A2,
ko,19,A2,
ko,20,A2,
ko,21,A2,
ko,22,A2,
ko,23,A2,
ko,24,A2,
ko,25,A2,
ko,26,B1,
ko,27,B1,
ko,28,B1,
ko,29,B1,
ko,30,B1,
ko,31,B1,
ko,32,B1,
ko,33,B1,
ko,34,B1,
ko,35,B1,
ko,36,B1,
ko,37,B1,
ko,38,B1,
ko,39,B2,
ko,40,B2,
ko,41,B2,
ko,42,B2,
ko,43,B2,
ko,44,B2,
ko,45,B2,
ko,46,B2,
ko,47,B2,
ko,48,B2,
ko,49,B2,
ko,50,B2,
ko,51,C1,
ko,52,C1,
ko,53,C1,
ko,54,C1,
ko,55,C1,
ko,56,C1,
ko,57,C1,
ko,58,C1,
ko,59,C1,
ko,60,C1,
ko,61,C1,
ko,62,C1,
ko,63,C1,
ko,64,C2,
ko,65,C2,
ko,66,C2,
ko,67,C2,
ko,68,C2,
ko,69,C2,
ko,70,C2,
ko,71,C2,
ko,72,C2,
ko,73,C2,
ko,74,C2,
ko,75,C2,
fr,1,A1,
fr,2,A1,
fr,3,A1,
fr,4,A1,
fr,5,A1,
fr,6,A2,"É читається як [e]: café [kafe], été [ete]"
fr,7,A2,"À читається як [a]: là [la], voilà [vwala]"
fr,8,A2,
fr,9,A2,"OU читається як [u]: ou [u], tour [tuʁ]"
fr,10,A2,"OI читається як [wa]: moi [mwa], toi [twa]"
fr,11,B1,"AI читається як [ɛ]: mai [mɛ], lait [lɛ]"
fr,12,B1,"AU читається як [o]: au [o], faux [fo]"
fr,13,B1,"EU у відкритому складі читається як [ø]: feu [fø], jeu [ʒø]"
fr,14,B1,"AN, EN, AM, EM читаються як [ɑ̃]: an [ɑ̃], dans [dɑ̃]"
fr,15,B1,"IN, AIN, IM, AIM, EIN читаються як [ɛ̃]: fin [fɛ̃], pain [pɛ̃]"
fr,16,B2,"ON, OM читаються як [ɔ̃]: on [ɔ̃], bon [bɔ̃]"
fr,17,B2,"UN, UM читаються як [œ̃]: un [œ̃], brun [bʁœ̃]"
fr,18,B2,
fr,19,B2,
fr,20,B2,"Ç завжди читається як [s]: ça [sa], garçon [gaʁsɔ̃]"
fr,21,C1,
fr,22,C1,
fr,23,C1,"H muet — приєднання можливе: l'homme [lɔm], l'heure [lœʁ]"
fr,24,C1,
fr,25,C1,"Винятки: mille [mil], ville [vil], tranquille [tʁɑ̃kil]"
fr,26,C2,
fr,27,C2,
fr,28,C2,
fr,29,C2,
fr,30,C2,
de,1,A1,
de,2,A1,
de,3,A1,
de,4,A1,
de,5,A1,
de,6,A2,"Подвоєна голосна або голосна + H читається довго: aa [aː], ee [eː], oo [oː], ie [iː]; голосна+H → довга: Bahn [baːn]"
de,7,A2,"Умлаути: Ä [ɛ], Ö [øː], Ü [yː] — змінюють звучання базових голосних"
de,8,A2,
de,9,A2,"EI та AI читаються як [aɪ]: ein [aɪn], Mai [maɪ]"
de,10,A2,"AU читається як [aʊ]: aus [aʊs], Haus [haʊs]"
de,11,B1,"EU та ÄU читаються як [ɔɪ]: neu [nɔɪ], Häuser [hɔɪzəʁ]"
de,12,B1,
de,13,B1,
de,14,B1,
de,15,B1,"ß читається як [s] після довгої голосної або дифтонга: Straße [ʃtʁaːsə], heißen [haɪsən]"
de,16,B2,
de,17,B2,
de,18,B2,
de,19,B2,
de,20,B2,
de,21,C1,"Голосна + R: ar [aːʁ], er [eːʁ], ir [iːʁ], or [oːʁ], ur [uːʁ]"
de,22,C1,
de,23,C1,
de,24,C1,
de,25,C1,
de,26,C2,
de,27,C2,
de,28,C2,
de,29,C2,
de,30,C2,
pt,1,A1,
pt,2,A1,
pt,3,A1,
pt,4,A1,
pt,5,A1,
pt,6,A2,"Á читається як [a]: está [ɨʃta], pá [pa], lá [la]"
pt,7,A2,"ã читається як [ɐ̃]: irmã [iʁmɐ̃], maçã [masɐ̃], manhã [mɐɲɐ̃]"
pt,8,A2,
pt,9,A2,
pt,10,A2,"x на початку слова та після ai/ei читається як [ʃ]: xícara [ʃikaɾɐ], baixo [bajʃu]"
pt,11,B1,
pt,12,B1,
pt,13,B1,
pt,14,B1,
pt,15,B1,"ai читається як [aj]: pai [paj], mais [majʃ], caixa [kajʃɐ], baixo [bajʃu]"
pt,16,B2,"au читається як [aw]: mau [maw], pau [paw], causa [kawzɐ], auto [awtu]"
pt,17,B2,
pt,18,B2,"H завжди мовчить: hora [oɾɐ], homem [omẽ], hoje [oʒɨ], há [a]"
pt,19,B2,
pt,20,B2,
pt,21,C1,
pt,22,C1,
pt,23,C1,
pt,24,C1,
pt,25,C1,
pt,26,C2,
pt,27,C2,
pt,28,C2,
pt,29,C2,
pt,30,C2,
it,1,A1,
it,2,A1,
it,3,A1,
it,4,A1,
it,5,A1,
it,6,A2,"E закрита [e]: mela [ˈmela], sera [ˈsera]; E відкрита [ɛ]: bello [ˈbɛllo], festa [ˈfɛsta]; O закрита [o]: sole [ˈsole]; O відкрита [ɔ]: cosa [ˈkɔza], porta [ˈpɔrta]"
it,7,A2,"C перед A/O/U → [k]: casa [ˈkaza], come [ˈkome]; C перед E/I → [tʃ]: cena [ˈtʃena], città [tʃitˈta]; CC перед E/I → [ttʃ]: accento [atˈtʃento]"
it,8,A2,"G перед A/O/U → [g]: gatto [ˈgatto], gola [ˈgola]; G перед E/I → [dʒ]: gente [ˈdʒente], giro [ˈdʒiro]; GG перед E/I → [ddʒ]: oggi [ˈoddʒi]"
it,9,A2,
it,10,A2,
it,11,B1,
it,12,B1,"Подвоєні приголосні подовжують звук — обидва приголосні вимовляються: fatto [ˈfatto], bello [ˈbɛllo], anno [ˈanno]"
it,13,B1,"Z → [ts]: zero [ˈtsɛro], pizza [ˈpittsa], grazie [ˈgrattsjɛ]; Z → [dz]: zona [ˈdzona], zoo [ˈdzɔɔ], zio [ˈdzio]"
it,14,B1,
it,15,B1,
it,16,B2,"Знак наголосу → наголошений кінцевий склад: città [tʃitˈta], caffè [kafˈfɛ], perché [perˈke]; Без знака — зазвичай наголос на передостанньому складі: casa [ˈkaza]"
it,17,B2,"R [r] (одиночний, злегка вібруючий): caro [ˈkaro], sera [ˈsera]; RR [rr] (сильно вібруючий): carro [ˈkarro], terra [ˈtɛrra]"
it,18,B2,"S → [s] (на початку слова або перед глухим): sale [ˈsale], pasta [ˈpasta]; S → [z] (між голосними): casa [ˈkaza], rosa [ˈrɔza]; S після приголосного → [s]: borsa [ˈborsa]"
it,19,B2,Іноземні літери: J [j/dʒ]: jeans [dʒins]; K [k]: km; W [v/w]: web [wɛb]; X [ks]: taxi [ˈtaksi]; Y [j/i]: yoga [ˈjɔga]
it,20,B2,
it,21,C1,
it,22,C1,
it,23,C1,
it,24,C1,
it,25,C1,
it,26,C2,
it,27,C2,
it,28,C2,
it,29,C2,
it,30,C2,
pl,1,A1,
pl,2,A1,
pl,3,A1,
pl,4,A1,
pl,5,A1,
pl,6,A2,"Ą читається як носовий [ɔ̃]; перед b/p → [ɔm]: ząb [zɔmp], trąba [ˈtrɔmba]; перед d/t/dz/c → [ɔn]: kąt [kɔnt]"
pl,7,A2,"Ó звучить ідентично до U: mór [mur], pół [puw], córka [ˈtsurka]"
pl,8,A2,"Ź — м'який [ʑ]; Ż — твердий [ʐ] (як RZ); Ś — м'який [ɕ]; Ź vs Ż: Ź м'який, Ż твердий"
pl,9,A2,Ć читається як [tɕ]; DŹ — [dʑ]; Ń — [ɲ] (назалізований)
pl,10,A2,"Ł читається як англійський [w]: łódź [wutɕ], stół [stuw], biały [ˈbjawɨ]"
pl,11,B1,
pl,12,B1,
pl,13,B1,
pl,14,B1,"Приголосні перед I пом'якшуються: bi [bʲi], di [dʲi], mi [mʲi], ni [ɲi], si [ɕi], zi [ʑi]"
pl,15,B1,"CI, DZI, NI, SI, ZI перед голосною пом'якшують приголосний: ciało [ˈtɕawɔ], nie [ɲɛ]"
pl,16,B2,
pl,17,B2,
pl,18,B2,"H і CH вимовляються однаково як [x]: herb [xɛrp], chleb [xlɛp]"
pl,19,B2,
pl,20,B2,
pl,21,C1,
pl,22,C1,
pl,23,C1,
pl,24,C1,
pl,25,C1,
pl,26,C2,
pl,27,C2,
pl,28,C2,
pl,29,C2,"Наголос майже завжди на передостанній склад: mama [ˈmama], komputer [kɔmˈputɛr]"
pl,30,C2,
ru,1,A1,"Гласные буквы: А [a], О [o], У [u], Э [ɛ], И [i], Ы [ɨ]"
ru,2,A1,
ru,3,A1,
ru,4,A1,
ru,5,A1,
ru,6,A2,"Йотовані голосні: Я, Ё, Ю, Е читаються як [ja/a], [jo/o], [ju/u], [je/e] залежно від позиції (на початку слова/після голосної — йотована; після м'якого приголосного — проста)"
ru,7,A2,Шиплячі та африкати: Ж [ʐ] — завжди твердий; Ш [ʃ] — завжди твердий; Щ [ɕː] — завжди м'який; Ч [tɕ] — завжди м'який; Ц [ts] — завжди твердий
ru,8,A2,"Ь (м'який знак) — пом'якшує попередній приголосний, сам не читається. Ъ (твердий знак) — розділяє префікс та йотований голосний, сам не читається"
ru,9,A2,Редукція голосних (аканье): О в ненаголошеному складі → [ɐ] або [ə]; А ненаголошене → [ɐ]; Е/Я ненаголошене → [ɪ]
ru,10,A2,"Пом'якшення приголосних перед Е/І/Я/Ё/Ю/Ь: більшість приголосних пом'якшуються. Виняток: Ж, Ш, Ц залишаються твердими навіть перед И/Е"
ru,11,B1,"Оглушення приголосних в кінці слова: б→[p], в→[f], г→[k], д→[t], з→[s], ж→[ʃ]"
ru,12,B1,"Спрощення груп приголосних: стн→[sn], здн→[zn], стл→[sl], лнц→[nts]"
ru,13,B1,Буква Г: у закінченнях -ого/-його → [v]; у словах Бог/Господь → [x]; в усіх інших позиціях → [g]
ru,14,B1,Орфографічні правила: жи/ши пишуться з И (вимовляються [ɨ]); ча/ща пишуться з А; чу/щу пишуться з У
ru,15,B1,Префікси та суфікси: без-/бес- [bʲɪz/bʲɪs]; під-/пот- [pɐd/pɐt]; -ість [-əsʲtʲ]; -ення [-ʲenʲɪje]
ru,16,B2,
ru,17,B2,
ru,18,B2,
ru,19,B2,
ru,20,B2,
ru,21,C1,
ru,22,C1,
ru,23,C1,
ru,24,C1,
ru,25,C1,
ru,26,C2,
ru,27,C2,"Правила читання жи/ши/ци: жи → [ʐɨ]; ши → [ʃɨ]; ци → [tsɨ] (Ж, Ш, Ц — завжди тверді)"
ru,28,C2,"М'які та тверді пари приголосних: більшість приголосних мають м'яку пару (перед ь/е/і/я/ё/ю). Приклади: брат/братья, кон/конь, мол/моль"
ru,29,C2,
ru,30,C2,
ja,1,A1,"Hiragana (平仮名) — syllabic script; each character = one mora. Vowels あ行: あ [a], い [i], う [ɯ/u], え [e], お [o] — short, pure vowels."
ja,2,A1,"か行 (KA row): consonant + vowel syllables. Words: かき [kaki], きく [kiku], こえ [koe], かお [kao]."
ja,3,A1,
ja,4,A1,
ja,5,A1,
ja,6,A2,"は行 (HA row): は [ha], ひ [hi], ふ [ɸɯ/fu], へ [he], ほ [ho]. Particle exception: は as topic marker reads [wa]; へ as direction marker reads [e]."
ja,7,A2,
ja,8,A2,
ja,9,A2,
ja,10,A2,
ja,11,B1,拗音 (yoon): small や・ゆ・よ written after a consonant kana form compound syllables — ki+ya=kya [kya]. The small kana is not a separate mora; together they form one syllable.
ja,12,B1,"長音 (choon): a repeated vowel kana extends the sound by one mora. おう and おお both become [oː]. Examples: おかあさん [okaasan], おとうさん [otousan], とおい [tooi]."
ja,13,B1,促音 (sokuon) っ: small っ doubles the following consonant — hold/pause for one full mora before releasing. Before K: がっこう [gakkou]; S: ざっし [zasshi]; T: きって [kitte]; P: きっぷ [kippu].
ja,14,B1,撥音 (hatsuon) ん: assimilates to the following consonant — [m] before m/b/p; [n] before n/t/d; [ŋ] before k/g; syllabic [N] elsewhere or word-finally.
ja,15,B1,"Katakana (片仮名) — angular script used for foreign loanwords, onomatopoeia, and emphasis. Each character corresponds to the same sound as its hiragana counterpart."
ja,16,B2,
ja,17,B2,"Katakana long vowel mark ー (choonpu): extends the preceding vowel by one mora. Used in Katakana instead of repeating a vowel kana. コーヒー [koohii], スーパー [suupaa], ケーキ [keeki]."
ja,18,B2,"Foreign sounds in Katakana: combinations not native to Japanese — ファ [fa], フィ [fi], フォ [fo], ウィ [wi], ヴァ [va], ティ [ti], ディ [di]. Used to approximate loanword pronunciations."
ja,19,B2,
ja,20,B2,
